cardnum,customername,email
1,Mickey,clubhouse@mickeymouse.com
2,Donald,onaldd@disney.com
3,Minnie,minie@disney.com
4,Julius,Julius@disney.com
5,Winnie,Winnie@disney.com
6,Oswald,Oswald@disney.com
7,Pluto,Pluto@disney.com
8,Pete,Pete@disney.com
9,Louie,Louie@disney.com
10,Clarabelle,Clarabelle@disney.com
11,Max,Max@disney.com
12,Goofy,Goofy@disney.com
13,Horace,Horace@disney.com
14,Humphrey,Humphrey@disney.com
15,Sylvester,Sylvester@disney.com
16,Figaro,Figaro@disney.com
17,Bell,Bell@disney.com
18,Wendy,Wendy@disney.com
19,John,John@disney.com
20,Michael,Michael@disney.com
21,Captain Hook,Captain Hook@disney.com
22,Peter Pan,Peter Pan@disney.com
23,Alice,Alice@disney.com
24,Kronk,Kronk@disney.com
25,Gus,Gus@disney.com
26,Cindy,Cindy@disney.com
27,Anastasia,Anastasia@disney.com
28,Rapunzel,Rapunzel@disney.com
29,Merida,Merida@disney.com
30,Flynn,Flynn@disney.com
31,Mowgli,Mowgli@disney.com
32,Baloo,Baloo@disney.com
33,Bagheera,Bagheera@disney.com
34,Robin,Robin@disney.com
35,Marian,Marian@disney.com
36,Cruella,Cruella@disney.com
37,Tigger,Tigger@disney.com
38,Eeyore,Eeyore@disney.com
39,Christopher Robin,Christopher Robin@disney.com
40,Owl,Owl@disney.com
41,Rabbit,Rabbit@disney.com
42,Mulan,Mulan@disney.com
43,Li Shang,Li Shang@disney.com
44,Belle,Belle@disney.com
45,Gaston,Gaston@disney.com
46,Le Fou,Le Fou@disney.com
47,Maurice,Maurice@disney.com
48,Aladdin,Aladdin@disney.com
49,Eric,Eric@disney.com
